c:\users\admin\documents\github\phpproject\ospanel\modules\database\MariaDB-10.3-x64\bin\mysqld.exe, Version: 10.3.13-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
		    42 Quit	
		    41 Quit	
		    43 Connect	root@localhost as anonymous on 
		    43 Query	SELECT @@version, @@version_comment
		    43 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    43 Query	SET lc_messages = 'ru_RU'
		    44 Connect	root@localhost as anonymous on 
		    43 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    43 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    44 Quit	
		    43 Quit	
190629 12:40:22	    45 Connect	root@localhost as anonymous on 
		    45 Query	SELECT @@version, @@version_comment
		    45 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    45 Query	SET lc_messages = 'ru_RU'
		    46 Connect	root@localhost as anonymous on 
		    46 Query	SHOW TABLES FROM `mystackoverflow`
		    45 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    45 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    45 Init DB	mystackoverflow
		    45 Query	SHOW TABLES FROM `mystackoverflow`
		    45 Query	SELECT @@lower_case_table_names
		    45 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                 ORDER BY Name ASC LIMIT 250 OFFSET 0
		    45 Query	SHOW MASTER STATUS
		    45 Query	SHOW SLAVE STATUS
		    45 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    45 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    45 Query	SELECT COUNT(*) FROM `mystackoverflow`.`users`
		    45 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mystackoverflow' LIMIT 1
		    45 Query	SELECT @@storage_engine
		    45 Query	SHOW TABLES FROM `mystackoverflow`
		    45 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    45 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    45 Query	SHOW TABLES FROM `mystackoverflow`
		    45 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    45 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    46 Quit	
		    45 Quit	
190629 12:40:47	    47 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    47 Query	SET NAMES utf8mb4
		    47 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    47 Query	SELECT `quest`.*  FROM `quest`  WHERE  users_id = '1'   -- keep-cache
		    47 Query	show tables
		    47 Query	DESCRIBE `questions`
		    47 Query	ALTER TABLE `questions` ADD `users_id`  INT(11) UNSIGNED
		    47 Query	CREATE INDEX index_foreignkey_questions_users ON `questions` (`users_id`)
		    47 Query	SELECT DATABASE()
		    47 Query	SELECT
				information_schema.key_column_usage.constraint_name AS `name`,
				information_schema.key_column_usage.referenced_table_name AS `table`,
				information_schema.key_column_usage.column_name AS `from`,
				information_schema.key_column_usage.referenced_column_name AS `to`,
				information_schema.referential_constraints.update_rule AS `on_update`,
				information_schema.referential_constraints.delete_rule AS `on_delete`
				FROM information_schema.key_column_usage
				INNER JOIN information_schema.referential_constraints
				ON information_schema.referential_constraints.constraint_name = information_schema.key_column_usage.constraint_name
			WHERE
				information_schema.key_column_usage.table_schema = 'mystackoverflow'
				AND information_schema.referential_constraints.constraint_schema  = 'mystackoverflow'
				AND information_schema.key_column_usage.constraint_schema  = 'mystackoverflow'
				AND information_schema.key_column_usage.table_name = 'questions'
				AND information_schema.key_column_usage.constraint_name != 'PRIMARY'
				AND information_schema.key_column_usage.referenced_table_name IS NOT NULL
		    47 Query	DESCRIBE `questions`
		    47 Query	ALTER TABLE `questions`
				ADD CONSTRAINT c_fk_questions_users_id
				FOREIGN KEY fk_questions_users_id ( `users_id` ) REFERENCES `users`
				(`id`) ON DELETE SET NULL ON UPDATE SET NULL
		    47 Query	INSERT INTO `questions` ( id, `title`,`text`,`users_id` ) VALUES
			( NULL, 'Привет','ТЕст','1' )
		    47 Quit	
190629 12:40:49	    48 Connect	root@localhost as anonymous on 
		    48 Query	SELECT @@version, @@version_comment
		    48 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    48 Query	SET lc_messages = 'ru_RU'
		    49 Connect	root@localhost as anonymous on 
		    49 Query	SHOW TABLES FROM `mystackoverflow`
		    48 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    48 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    48 Init DB	mystackoverflow
		    48 Query	SHOW TABLES FROM `mystackoverflow`
		    48 Query	SELECT @@lower_case_table_names
		    48 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                 ORDER BY Name ASC LIMIT 250 OFFSET 0
		    48 Query	SHOW MASTER STATUS
		    48 Query	SHOW SLAVE STATUS
		    48 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    48 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    48 Query	SELECT COUNT(*) FROM `mystackoverflow`.`users`
		    48 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mystackoverflow' LIMIT 1
		    48 Query	SELECT @@storage_engine
		    48 Query	SELECT (COUNT(DB_first_level) DIV 100) * 100 from (  SELECT distinct SUBSTRING_INDEX(SCHEMA_NAME,  '_', 1)  DB_first_level  FROM INFORMATION_SCHEMA.SCHEMATA  WHERE `SCHEMA_NAME` < 'mystackoverflow' ) t
		    48 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    48 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    48 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    48 Query	SHOW TABLES FROM `mystackoverflow`
		    48 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    48 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    48 Quit	
		    49 Quit	
190629 12:40:50	    50 Connect	root@localhost as anonymous on 
		    50 Query	SELECT @@version, @@version_comment
		    50 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    50 Query	SET lc_messages = 'ru_RU'
		    51 Connect	root@localhost as anonymous on 
		    50 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    50 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    51 Quit	
		    50 Quit	
		    52 Connect	root@localhost as anonymous on 
		    52 Query	SELECT @@version, @@version_comment
		    52 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    52 Query	SET lc_messages = 'ru_RU'
		    53 Connect	root@localhost as anonymous on 
		    52 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    52 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    52 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`!='BASE TABLE'
		    52 Query	SELECT @@lower_case_table_names
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow' AND `ROUTINE_TYPE`='FUNCTION'
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow'AND `ROUTINE_TYPE`='PROCEDURE'
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` ='mystackoverflow'
		    52 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE' ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    52 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    52 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    52 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    53 Quit	
		    52 Quit	
		    54 Connect	root@localhost as anonymous on 
		    54 Query	SELECT @@version, @@version_comment
		    54 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    54 Query	SET lc_messages = 'ru_RU'
		    55 Connect	root@localhost as anonymous on 
		    54 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    54 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    55 Quit	
		    54 Quit	
		    56 Connect	root@localhost as anonymous on 
		    56 Query	SELECT @@version, @@version_comment
		    56 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    56 Query	SET lc_messages = 'ru_RU'
		    57 Connect	root@localhost as anonymous on 
		    56 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    56 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    57 Quit	
		    56 Quit	
190629 12:40:52	    58 Connect	root@localhost as anonymous on 
		    58 Query	SELECT @@version, @@version_comment
		    58 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    58 Query	SET lc_messages = 'ru_RU'
		    59 Connect	root@localhost as anonymous on 
		    59 Query	SHOW TABLES FROM `mystackoverflow`
		    58 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    58 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    58 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    58 Query	SELECT DATABASE()
		    58 Init DB	mystackoverflow
		    58 Query	SELECT * FROM `questions` LIMIT 0, 50
		    58 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
		    58 Query	SELECT @@lower_case_table_names
		    58 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                AND t.`TABLE_NAME`  = 'questions' ORDER BY Name ASC
		    58 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    58 Query	SHOW WARNINGS
		    58 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
                AND IS_UPDATABLE = 'YES'
		    58 Query	SHOW INDEXES FROM `mystackoverflow`.`questions`
		    58 Query	SHOW CREATE TABLE `mystackoverflow`.`questions`
		    58 Query	SELECT *,
                        `COLUMN_NAME`       AS `Field`,
                        `COLUMN_TYPE`       AS `Type`,
                        `COLLATION_NAME`    AS `Collation`,
                        `IS_NULLABLE`       AS `Null`,
                        `COLUMN_KEY`        AS `Key`,
                        `COLUMN_DEFAULT`    AS `Default`,
                        `EXTRA`             AS `Extra`,
                        `PRIVILEGES`        AS `Privileges`,
                        `COLUMN_COMMENT`    AS `Comment`
                   FROM `information_schema`.`COLUMNS`
 WHERE `TABLE_SCHEMA` = 'mystackoverflow'  AND `TABLE_NAME` = 'users'
		    58 Query	SELECT *,
                        `COLUMN_NAME`       AS `Field`,
                        `COLUMN_TYPE`       AS `Type`,
                        `COLLATION_NAME`    AS `Collation`,
                        `IS_NULLABLE`       AS `Null`,
                        `COLUMN_KEY`        AS `Key`,
                        `COLUMN_DEFAULT`    AS `Default`,
                        `EXTRA`             AS `Extra`,
                        `PRIVILEGES`        AS `Privileges`,
                        `COLUMN_COMMENT`    AS `Comment`
                   FROM `information_schema`.`COLUMNS`
 WHERE `TABLE_SCHEMA` = 'mystackoverflow'  AND `TABLE_NAME` = 'users'
		    58 Query	SHOW FULL COLUMNS FROM `mystackoverflow`.`questions`
		    58 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 2
		    58 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 1
		    58 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 1
		    58 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    58 Query	SHOW  COLUMNS FROM `mystackoverflow`.`questions`
		    58 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    58 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    59 Quit	
		    58 Quit	
		    60 Connect	root@localhost as anonymous on 
		    60 Query	SELECT @@version, @@version_comment
		    60 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    60 Query	SET lc_messages = 'ru_RU'
		    61 Connect	root@localhost as anonymous on 
		    60 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    60 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    61 Quit	
		    60 Quit	
190629 12:40:55	    62 Connect	root@localhost as anonymous on 
		    62 Query	SELECT @@version, @@version_comment
		    62 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    62 Query	SET lc_messages = 'ru_RU'
		    63 Connect	root@localhost as anonymous on 
		    63 Query	SHOW TABLES FROM `mystackoverflow`
		    62 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    62 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    62 Init DB	mystackoverflow
		    62 Query	SHOW TABLES FROM `mystackoverflow`
		    62 Query	SELECT @@lower_case_table_names
		    62 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                 ORDER BY Name ASC LIMIT 250 OFFSET 0
		    62 Query	SHOW MASTER STATUS
		    62 Query	SHOW SLAVE STATUS
		    62 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    62 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    62 Query	SELECT COUNT(*) FROM `mystackoverflow`.`users`
		    62 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mystackoverflow' LIMIT 1
		    62 Query	SELECT @@storage_engine
		    62 Query	SHOW TABLES FROM `mystackoverflow`
		    62 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    62 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    62 Query	SHOW TABLES FROM `mystackoverflow`
		    62 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    62 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    63 Quit	
		    62 Quit	
190629 12:40:57	    64 Connect	root@localhost as anonymous on 
		    64 Query	SELECT @@version, @@version_comment
		    64 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    64 Query	SET lc_messages = 'ru_RU'
		    65 Connect	root@localhost as anonymous on 
		    64 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    64 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    64 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    65 Quit	
		    64 Quit	
		    66 Connect	root@localhost as anonymous on 
		    66 Query	SELECT @@version, @@version_comment
		    66 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    66 Query	SET lc_messages = 'ru_RU'
		    67 Connect	root@localhost as anonymous on 
		    67 Query	SHOW TABLES FROM `mystackoverflow`
		    66 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    66 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    66 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    66 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    66 Query	SELECT DATABASE()
		    66 Init DB	mystackoverflow
		    66 Query	DROP TABLE `question`
190629 12:40:58	    66 Query	SHOW WARNINGS
		    66 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    66 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
		    66 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    66 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
		    66 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
		    66 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
		    66 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    67 Quit	
		    66 Quit	
		    68 Connect	root@localhost as anonymous on 
		    68 Query	SELECT @@version, @@version_comment
		    68 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    68 Query	SET lc_messages = 'ru_RU'
		    69 Connect	root@localhost as anonymous on 
		    68 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    68 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    68 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`!='BASE TABLE'
		    68 Query	SELECT @@lower_case_table_names
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow' AND `ROUTINE_TYPE`='FUNCTION'
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow'AND `ROUTINE_TYPE`='PROCEDURE'
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` ='mystackoverflow'
		    68 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE' ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    68 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    68 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    68 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    69 Quit	
		    68 Quit	
